# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
40 40 0  40
        1         1 0.025000000000000001388
        2         2 0.025000000000000001388
        3         3 0.025000000000000001388
        4         4 0.025000000000000001388
        5         5 0.025000000000000001388
        6         6 0.025000000000000001388
        7         7 0.025000000000000001388
        8         8 0.025000000000000001388
        9         9 0.025000000000000001388
       10        10 0.025000000000000001388
       11        11 0.025000000000000001388
       12        12 0.025000000000000001388
       13        13 0.025000000000000001388
       14        14 0.025000000000000001388
       15        15 0.025000000000000001388
       16        16 0.025000000000000001388
       17        17 0.024999999999999994449
       18        18 0.024999999999999994449
       19        19 0.024999999999999994449
       20        20 0.024999999999999994449
       21        21 0.024999999999999994449
       22        22 0.024999999999999994449
       23        23 0.024999999999999994449
       24        24 0.024999999999999994449
       25        25 0.025000000000000008327
       26        26 0.025000000000000008327
       27        27 0.025000000000000008327
       28        28 0.025000000000000008327
       29        29 0.025000000000000008327
       30        30 0.025000000000000008327
       31        31 0.025000000000000008327
       32        32 0.025000000000000008327
       33        33 0.024999999999999994449
       34        34 0.024999999999999994449
       35        35 0.024999999999999994449
       36        36 0.024999999999999994449
       37        37 0.024999999999999994449
       38        38 0.024999999999999994449
       39        39 0.024999999999999994449
       40        40 0.024999999999999994449

